Prsnlty_type,HrsSmrtPhnUse_Wkday,CallFamMem,CallFrnds,Txtng,Entertainment,NgtvePhysHlthEffcts_SmrtPhnUse,DcreasdSlpTimeQulty_SmrtPhnUse,TiredDaytime_latenightSmrtPhnUse,Compulsive_Behavior,Functional_Impairment,TotAddiction_Score,Depression_score,Anxiety_score
0,1,0,0,0,1,3,2,3,26,19,70,2,4
0,1,1,1,1,0,2,1,1,15,9,38,1,1
0,1,1,1,1,1,2,2,3,17,19,54,4,4
0,1,1,0,1,1,3,2,2,19,14,54,1,0
0,1,1,1,1,1,1,3,3,17,19,61,1,2
0,1,1,1,1,1,2,2,3,18,17,56,0,0
1,1,1,1,1,1,1,2,1,15,15,54,0,2
0,1,0,0,1,0,2,1,1,17,14,45,2,2
1,1,1,1,1,1,1,1,1,16,15,55,2,3
1,1,0,0,1,1,3,3,2,25,15,64,2,2
1,1,0,1,1,0,1,2,2,10,14,40,0,0
0,0,1,1,1,1,2,3,2,13,19,47,1,2
0,1,0,0,1,0,1,1,1,11,14,40,5,1
1,1,1,1,1,1,4,4,3,29,22,76,2,4
0,1,1,1,1,1,2,3,3,21,18,66,1,1
0,0,0,0,1,0,1,2,1,13,14,41,0,0
0,1,0,0,1,1,2,2,1,19,16,61,2,2
1,0,0,0,1,1,1,1,1,9,8,28,2,2
0,0,0,0,1,0,1,3,3,9,15,39,1,1
0,1,1,1,1,1,2,3,1,24,18,67,3,2
1,1,1,0,1,1,2,3,3,19,19,60,2,2
0,1,0,0,1,1,1,2,1,19,14,53,2,1
1,1,1,1,1,1,2,3,4,22,25,74,3,4
0,1,1,1,1,1,2,2,2,19,21,62,2,3
0,1,1,1,1,1,3,2,2,22,16,59,5,2
0,1,0,0,0,1,1,2,1,21,14,57,2,1
0,0,1,1,1,0,1,1,1,13,10,36,2,4
1,1,0,0,0,1,2,3,2,18,14,48,1,3
0,1,1,1,1,1,2,1,2,10,9,31,1,2
0,0,0,0,0,1,2,3,3,20,18,65,4,2
0,1,0,0,1,1,2,3,2,29,19,76,2,3
1,1,1,1,1,1,1,2,1,20,16,58,6,1
1,0,1,1,1,1,3,2,2,25,18,71,2,3
1,1,1,1,1,1,3,2,1,18,11,52,2,1
0,0,1,1,1,1,1,1,1,9,8,29,1,2
